symbol,name,cap,close,score
SBCL,Shivalik Bimetal Controls Ltd.,Microcap,760.45,6
SCHAEFFLER,Schaeffler India Limited,Midcap,4189.7,6
SEJALLTD,SEJAL GLASS LIMITED,Microcap,758.5,6
SENORES,SENORES PHARMACEUTICALS LIMITED,Microcap,1329.9,6
SFL,Sheela Foam Limited,Microcap,746.9,6
SGFIN,SG FINSERVE LIMITED,Microcap,617.35,6
SGIL,Synergy Green Industries Limited,Microcap,585.7,6
SGMART,SG MART LIMITED,Microcap,590.95,6
SHAILY,Shaily Engineering Plastics Ltd.,Microcap,2895.5,6
SHANTIGOLD,SHANTI GOLD INTERNATIONAL LIMITED,Microcap,223.69,6
SHILCTECH,Shilchar Technologies Ltd.,Microcap,4571.8,6
SHILPAMED,Shilpa Medicare Ltd.,Microcap,598.4,6
SHREEJISPG,Shreeji Shipping Global Limited,Microcap,491.3,6
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,Microcap,407.5,6
SHRINGARMS,SHRINGAR HOUSE OF MANGALSUTRA LIMITED,Microcap,219.48,6
SHRIPISTON,SHRIRAM PISTONS & RINGS LTD,Microcap,4187.4,6
SIGNPOST,Signpost India Limited,Microcap,273.35,6
SIMPLEXINF,Simplex Infrastructures Limited,Microcap,265.7,6
SIYSIL,Siyaram Silk Mills Ltd.,Microcap,638.15,6
SJS,S.J.S. Enterprises Limited,Microcap,2218.0,6
SKFINDUS,SKF INDIA (INDUSTRIAL) LIMITED,Smallcap,2891.8,6
SKMEGGPROD,SKM Egg Products Exports (India) Lt,Microcap,293.02,6
SKYGOLD,Sky Gold And Diamonds Limited,Microcap,532.55,6
SMARTWORKS,SMARTWORKS COWORKING SPACES LIMITED,Microcap,486.15,6
SMLMAH,SML Mahindra Limited,Microcap,4098.0,6
SMSPHARMA,SMS Pharmaceuticals Ltd,Microcap,412.55,6
SOFTTECH,SoftTech Engineers Limited,Microcap,444.65,6
SOLARA,SOLARA ACTIVE PHARMA SCIENCES LIMITED,Microcap,575.7,6
SOMANYCERA,Somany Ceramics Limited,Microcap,533.85,6
SONACOMS,Sona BLW Precision Forgings Limited,Smallcap,619.9,6
SPAL,S.P. Apparels Limited,Microcap,1138.15,6
SPARC,Sun Pharma Advanced Research Company Ltd.,Microcap,234.75,6
SPECTRUM,Spectrum Electrical Industries Limited,Microcap,1860.7,6
SRM,SRM CONTRACTORS LIMITED,Microcap,513.1,6
SSWL,Steel Strips & Wheels Ltd,Microcap,230.68,6
STARHEALTH,Star Health and Allied Insurance Company Limited,Smallcap,588.95,6
STEELCAS,Steelcast Ltd.,Microcap,303.55,6
STOVEKRAFT,STOVE KRAFT LIMITED,Microcap,775.5,6
SUBROS,Subros Ltd.,Microcap,842.4,6
SUDEEPPHRM,Sudeep Pharma Limited,Microcap,848.5,6
SUMEETINDS,Sumeet Industries Ltd,Microcap,28.35,6
SUPRIYA,Supriya Lifescience Limited,Microcap,1018.05,6
SURYODAY,Suryoday Small Finance Bank Limited,Microcap,175.61,6
SUVEN,Suven Life Sciences Ltd.,Microcap,280.65,6
SUZLON,SUZLON ENERGY LTD.,Midcap,58.9,6
SWANDEF,SWAN DEFENCE AND HEAVY INDUSTRIES LIMITED,Microcap,2197.1,6
SWARAJENG,Swaraj Engines Ltd.,Microcap,3997.6,6
SYRMA,Syrma SGS Technology Limited,Smallcap,1396.3,6
TALBROAUTO,Talbros Automotive Components Ltd.,Microcap,417.55,6
TARIL,Transformers and Rectifiers (India) Limited,Smallcap,351.35,6
TBZ,Tribhovandas Bhimji Zaveri Limited,Microcap,195.12,6
TCPLPACK,TCPL Packaging Limited,Microcap,2966.6,6
TENNIND,Tenneco Clean Air India Limited,Smallcap,592.4,6
TEXINFRA,Texmaco Infrastructure & Holdings Ltd,Microcap,108.82,6
TFCILTD,Tourism Finance Corpn. Of India Ltd,Microcap,77.07,6
THANGAMAYL,Thangamayil Jewellery Limited,Microcap,6398.2,6
THEJO,Thejo Engineering Ltd.,Microcap,1918.6,6
THERMAX,Thermax Ltd.,Midcap,5159.5,6
THYROCARE,Thyrocare Technologies Limited,Microcap,549.3,6
TI,Tilaknagar Industries Ltd,Microcap,455.15,6
TINNARUBR,Tinna Rubber and Infrastructure Limited,Microcap,952.3,6
TNPETRO,Tamilnadu Petroproducts Ltd,Microcap,95.53,6
TPLPLASTEH,TPL Plastech Limited,Microcap,73.15,6
TRITURBINE,Triveni Turbine Limited,Smallcap,689.75,6
TRIVENI,Triveni Engineering & Industries Ltd,Microcap,422.55,6
TSFINV,TSF Investments Ltd.,Microcap,440.15,6
TVSELECT,TVS Electronics Ltd.,Microcap,511.5,6
UJJIVANSFB,Ujjivan Small Finance Bank Limited,Microcap,59.05,6
UNIMECH,Unimech Aerospace and Manufacturing Limited,Microcap,1171.65,6
UNIPARTS,Uniparts India Limited,Microcap,673.6,6
UNITDSPR,United Spirits Limited,Midcap,1350.4,6
UNIVCABLES,Universal Cables Ltd.,Microcap,1253.6,6
USHAMART,Usha Martin Ltd.,Smallcap,496.9,6
UTLSOLAR,Fujiyama Power Systems Limited,Microcap,323.1,6
VARROC,Varroc Engineering Limited,Microcap,633.0,6
VENUSPIPES,Venus Pipes & Tubes Limited,Microcap,1730.5,6
VERANDA,Veranda Learning Solutions Limited,Microcap,238.98,6
VHL,Vardhman Holdings Limited,Microcap,3574.8,6
VIJAYA,Vijaya Diagnostic Centre Limited,Microcap,1352.6,6
VIMTALABS,Vimta Labs Ltd.,Microcap,587.55,6
VINCOFE,VINTAGE COFFEE AND BEVERAGES LIMITED,Microcap,154.85,6
VISAKAIND,Visaka Industries Ltd.,Microcap,79.06,6
VLSFINANCE,VLS Finance Limited,Microcap,257.62,6
VMART,V-Mart Retail Limited,Microcap,779.05,6
VOLTAMP,VOLTAMP TRANSFORMERS LIMITED,Microcap,10379.5,6
WAAREERTL,WAAREE RENEWABLE TECHNOLOGIES LIMITED,Microcap,1018.25,6
WANBURY,Wanbury Limited,Microcap,280.85,6
WELCORP,Welspun Corp Limited,Smallcap,1521.9,6
WELENT,Welspun Enterprises Limited,Microcap,601.45,6
WEWORK,WeWork India Management Limited,Microcap,689.3,6
WHEELS,WHEELS INDIA LTD,Microcap,1786.0,6
WINDLAS,Windlas Biotech Limited,Microcap,859.3,6
