week_ending,sym,close,score,qual
2024-09-06,MENONBE,122.33,0,False
2024-09-13,MENONBE,123.3,1,False
2024-09-20,MENONBE,132.58,6,True
2024-09-27,MENONBE,131.54,5,True
2024-10-04,MENONBE,131.02,6,True
2024-10-11,MENONBE,125.31,1,False
2024-10-18,MENONBE,124.09,0,False
2024-10-25,MENONBE,115.72,0,False
2024-11-01,MENONBE,120.63,2,False
2024-11-08,MENONBE,127.89,6,True
2024-11-15,MENONBE,121.81,0,False
2024-11-22,MENONBE,118.98,0,False
2024-11-29,MENONBE,124.1,4,False
2024-12-06,MENONBE,125.17,4,False
2024-12-13,MENONBE,124.29,2,False
2024-12-20,MENONBE,124.52,0,False
2024-12-27,MENONBE,120.72,1,False
2025-01-03,MENONBE,120.89,2,False
2025-01-10,MENONBE,117.73,0,False
2025-01-17,MENONBE,121.23,3,False
2025-01-24,MENONBE,113.33,0,False
2025-01-31,MENONBE,112.62,1,False
2025-02-07,MENONBE,111.41,2,False
2025-02-14,MENONBE,105.93,0,False
2025-02-21,MENONBE,100.05,0,False
2025-02-28,MENONBE,95.86,0,False
2025-03-07,MENONBE,99.17,2,False
2025-03-14,MENONBE,91.71,0,False
2025-03-21,MENONBE,100.86,3,False
2025-03-28,MENONBE,89.9,0,False
2025-04-04,MENONBE,89.9,0,False
2025-04-11,MENONBE,94.57,3,False
2025-04-18,MENONBE,95.96,3,False
2025-04-25,MENONBE,104.8,3,False
2025-05-02,MENONBE,101.0,2,False
2025-05-09,MENONBE,99.3,0,False
2025-05-16,MENONBE,118.39,6,True
2025-05-23,MENONBE,115.93,6,False
2025-05-30,MENONBE,121.81,6,True
2025-06-06,MENONBE,120.02,5,True
2025-06-13,MENONBE,123.52,6,True
2025-06-20,MENONBE,120.52,5,True
2025-06-27,MENONBE,123.73,6,True
2025-07-04,MENONBE,122.9,4,True
2025-07-11,MENONBE,124.58,4,True
2025-07-18,MENONBE,126.96,6,True
2025-07-25,MENONBE,130.12,6,True
2025-08-01,MENONBE,131.08,4,True
2025-08-08,MENONBE,128.74,3,True
2025-08-15,MENONBE,127.62,3,True
2025-08-22,MENONBE,126.56,3,True
2025-08-29,MENONBE,126.25,4,True
2025-09-05,MENONBE,125.12,2,True
2025-09-12,MENONBE,132.34,6,True
2025-09-19,MENONBE,129.53,3,True
2025-09-26,MENONBE,127.8,2,True
2025-10-03,MENONBE,129.48,4,True
2025-10-10,MENONBE,122.35,1,False
2025-10-17,MENONBE,119.73,0,False
2025-10-24,MENONBE,122.65,3,False
2025-10-31,MENONBE,116.62,0,False
2025-11-07,MENONBE,116.19,0,False
2025-11-14,MENONBE,116.61,2,False
2025-11-21,MENONBE,114.24,0,False
2025-11-28,MENONBE,108.78,0,False
2025-12-05,MENONBE,106.54,0,False
2025-12-12,MENONBE,106.03,0,False
2025-12-19,MENONBE,104.76,0,False
2025-12-26,MENONBE,106.16,2,False
2026-01-02,MENONBE,111.97,4,False
2026-01-09,MENONBE,118.29,6,True
2026-01-16,MENONBE,130.99,6,True
2026-01-23,MENONBE,121.99,4,True
2026-01-30,MENONBE,113.04,0,False
2026-02-06,MENONBE,116.26,0,False
2026-02-13,MENONBE,118.02,2,False
2026-02-20,MENONBE,119.32,3,True
2026-02-27,MENONBE,116.12,0,False
2026-03-06,MENONBE,117.49,4,False
2026-03-13,MENONBE,122.77,5,True
2026-03-20,MENONBE,118.11,0,False
2026-03-27,MENONBE,109.22,0,False
2026-04-03,MENONBE,108.6,0,False
2026-04-10,MENONBE,119.83,6,True
2026-04-17,MENONBE,125.86,6,True
2026-04-24,MENONBE,118.74,3,True
2026-05-01,MENONBE,125.86,6,True
2026-05-08,MENONBE,141.31,6,True
2026-05-15,MENONBE,146.14,6,True
2026-05-22,MENONBE,148.77,6,True
2026-05-29,MENONBE,145.17,4,True
2026-06-05,MENONBE,138.71,3,True
2026-06-12,MENONBE,167.15,6,True
2026-06-19,MENONBE,175.43,6,True
2026-06-26,MENONBE,161.7,3,True
2026-07-03,MENONBE,158.77,3,True
2026-07-10,MENONBE,171.53,6,True
2026-07-17,MENONBE,199.67,6,True
2026-07-24,MENONBE,213.77,6,True
2026-07-31,MENONBE,210.59,4,True
2026-08-07,MENONBE,237.35,6,True
2026-08-14,MENONBE,229.68,4,True
2026-08-21,MENONBE,274.64,6,True
2024-07-05,METROBRAND,1217.45,4,True
2024-07-12,METROBRAND,1329.6,6,True
2024-07-19,METROBRAND,1311.95,5,True
2024-07-26,METROBRAND,1313.65,6,True
2024-08-02,METROBRAND,1349.7,6,True
2024-08-09,METROBRAND,1343.85,6,True
2024-08-16,METROBRAND,1328.6,6,True
